Date,Open,High,Low,Close
11/19/2020,41.61,41.98,41.08,41.74
11/18/2020,41.35,42.46,41.08,41.82
11/17/2020,41.44,41.69,40.57,41.43
11/16/2020,40.17,42.09,40.15,41.34
11/13/2020,40.94,40.94,40.06,40.13
11/12/2020,41.47,42.19,40.87,41.12
11/11/2020,41.79,43.06,41.32,41.45
11/10/2020,39.91,41.84,39.41,41.36
11/09/2020,37.34,41.33,37.16,40.29
11/06/2020,38.54,38.61,37.06,37.14
11/05/2020,39.17,39.35,38.27,38.79
11/04/2020,38.15,39.25,37.26,39.15
11/03/2020,37.03,38.32,36.57,37.66
11/02/2020,35.24,37.15,33.64,36.81
10/30/2020,36.07,36.6,35.21,35.79
10/29/2020,37.39,37.76,34.92,36.17
10/28/2020,38.97,39.01,36.97,37.39
10/27/2020,38.59,39.83,38.51,39.57
10/26/2020,39.69,39.74,38.28,38.56
10/23/2020,40.61,40.92,39.57,39.85
10/22/2020,40.04,41.02,39.71,40.64
10/21/2020,41.22,41.59,39.78,40.03
10/20/2020,40.65,41.7,40.25,41.46
10/19/2020,40.69,41.22,40.54,40.83
10/16/2020,40.88,41.05,40.08,40.88
10/15/2020,41.13,41.29,39.22,40.96
10/14/2020,40.19,41.16,39.82,41.04
10/13/2020,39.53,40.53,39.35,40.2
10/12/2020,40.4,40.45,39.04,39.43
10/09/2020,41.31,41.47,40.38,40.6
10/08/2020,39.99,41.33,39.76,41.19
10/07/2020,39.83,40.35,39.28,39.95
10/06/2020,39.35,40.86,39.1,40.67
10/05/2020,37,39.72,37,39.22
10/02/2020,38.6,38.65,36.63,37.05
10/01/2020,39.9,40.47,37.61,38.72
09/30/2020,39.16,40.37,38.68,40.22
09/29/2020,40.58,40.7,38.41,39.29
09/28/2020,40.07,40.8,39.78,40.6
09/25/2020,40.15,40.64,39.71,40.25
09/24/2020,39.6,40.37,39.12,40.31
09/23/2020,39.76,40.75,39.26,39.93
09/22/2020,39.63,40.02,39,39.6
09/21/2020,40.98,41.27,38.66,39.31
09/18/2020,40.97,41.49,40.3,41.11
09/17/2020,40.19,41.22,39.42,40.97
09/16/2020,38.35,40.34,38.35,40.16
09/15/2020,37.28,38.57,37.06,38.28
09/14/2020,37.32,37.68,36.82,37.26
09/11/2020,37.01,37.82,36.67,37.33
09/10/2020,37.8,38.18,36.93,37.3
09/09/2020,36.79,38.45,36.16,38.05
09/08/2020,39.13,39.33,36.13,36.76
09/04/2020,41.25,41.87,39.35,39.77
09/03/2020,41.63,41.79,40.22,41.37
09/02/2020,43.02,43.21,41.23,41.51
09/01/2020,42.83,43.43,42.72,42.76
08/31/2020,42.91,43.57,42.56,42.61
